date,model,input_tokens,output_tokens,requests,cost_usd
2026-03-01,gpt-4o,125000,45000,150,3.4250
2026-03-01,gpt-4o-mini,890000,220000,2100,0.5380
2026-03-01,o1-mini,45000,18000,80,1.2300
2026-03-01,text-embedding-3-small,2400000,0,800,0.0960
2026-03-02,gpt-4o,98000,32000,120,2.6100
2026-03-02,gpt-4o-mini,1020000,310000,2400,0.6520
2026-03-02,o1-mini,38000,14000,65,1.0200
2026-03-02,text-embedding-3-small,1900000,0,630,0.0760
2026-03-03,gpt-4o,142000,51000,180,3.8700
2026-03-03,gpt-4o-mini,760000,190000,1800,0.4580
2026-03-03,o1-mini,52000,21000,90,1.4600
2026-03-03,text-embedding-3-small,2100000,0,700,0.0840
